,Time (s),Voltage (V),Current (A)
0,18:26:37.686350,12.0029,1.41207e-05
1,18:26:38.788183,12.0029,4.27588e-05
2,18:26:39.896943,12.0029,1.66037e-05
3,18:26:40.997238,12.0029,2.28752e-05
4,18:26:42.090140,12.0029,2.72552e-05
5,18:26:43.182664,12.0029,1.02314e-05
6,18:26:44.277374,12.0029,2.64202e-05
7,18:26:45.370117,12.0029,3.42486e-05
8,18:26:46.463430,12.0029,9.13934e-06
9,18:26:47.560003,12.0029,2.11929e-05
10,18:26:48.651200,12.0029,1.98918e-05
11,18:26:49.745367,12.0029,9.26075e-06
12,18:26:50.842016,12.0029,3.48433e-06
