,Time (s),Voltage (V),Current (A)
0,18:35:46.781343,12.0029,-3.17821e-06
1,18:35:47.388922,12.0029,5.383e-06
2,18:35:47.989864,12.0029,4.33433e-06
3,18:35:48.596799,12.003,5.32804e-06
4,18:35:49.198009,12.003,1.1548e-05
5,18:35:49.811916,12.0029,5.83332e-06
6,18:35:50.405576,12.003,1.50927e-06
7,18:35:51.005967,12.0029,2.02259e-06
8,18:35:51.615057,12.0029,2.03619e-05
9,18:35:52.215854,12.003,2.89598e-07
10,18:35:52.828095,12.003,-4.32537e-06
11,18:35:53.430825,12.0029,-1.41949e-05
12,18:35:54.032249,12.003,2.4751e-05
13,18:35:54.631662,12.0029,1.53014e-05
14,18:35:55.232139,12.003,-2.35259e-06
15,18:35:55.841582,12.0029,6.50914e-06
16,18:35:56.441023,12.0029,8.28948e-06
